Product Title,Product Price,Product Rating,Product Reviews,Seller Name,Seller Rating,Seller Followers,Seller Products
Kurti,₹287,3.8,3070 Reviews,Orlean Garment,"3.823,154 Ratings",631Followers,19Products
embrodery kurti,₹274,3.6,287 Reviews,unnati international,"3.8120,579 Ratings","1,340Followers",80Products
Combo Pack 6 Piece CREPE KURTI For Women and Girls,₹837,3.9,7 Reviews,H D Enter,"3.64,736 Ratings",168Followers,"2,533Products"
Women's Aline Straight Crepe Regular Fit Kurti (Pack Of 4 Pcs),₹521,3.8,467 Reviews,New Ethnic 4 You,"3.8249,346 Ratings","3,517Followers",457Products
Original Product Fancy Kurti Cotton Blend New,₹237,3.8,1087 Reviews,TheFashionHub,"3.87,768 Ratings",126Followers,9Products
New Ethnic 4 You Women's and Girls Daily Wear Straight Kurti (Pack OF 4 Piece Kurta),₹521,3.8,2 Reviews,New Ethnic 4 You,"3.8249,346 Ratings","3,517Followers",457Products
Cotton Kurtis For Women with Pocket,₹261,4.2,1852 Reviews,Rimeline Trends,"4.180,215 Ratings","7,467Followers",92Products
Trendy Cotton Kurti Combo Black patta(203) And cream(204),₹490,3.6,765 Reviews,Lanya Fab,"3.617,870 Ratings",386Followers,30Products
GOGAJI DHOBI KURTI,₹249,3.9,863 Reviews,GOGAJI TRADERS,"4.0174,930 Ratings","19,569Followers",13Products
Women's Blue Bandhni Styles Kurti,₹460,4.0,1508 Reviews,Pristino Texarc,"4.09,342 Ratings",992Followers,26Products
cottin straight kurtis,₹328,NA,NA,pari creation,"3.945,803 Ratings",700Followers,44Products
Kurtis,₹284,4.0,153 Reviews,NEHA FAISHION,"3.93,707 Ratings",143Followers,12Products
Anarkali  Kurtis,₹312,4.2,70 Reviews,mola ali enterprises,"4.17,955 Ratings",145Followers,15Products
Womens sanganeri printed kurti,₹340,4.0,22 Reviews,YESU COLLECTION,"3.91,027 Ratings",52Followers,33Products
Women's Printed Crepe Kurtis,₹299,3.6,2158 Reviews,Navya Ethnic Center,"3.887,753 Ratings","1,293Followers",304Products
Shree  fashion's Rayon Anarkali Printed Black Green gold  Kurti for women,₹390,3.9,411 Reviews,KRISHNAM FASHION,"4.022,579 Ratings",444Followers,51Products
Combo Pack 6 Piece CREPE KURTI For Women and Girls,₹837,4.0,6 Reviews,H D Enter,"3.64,736 Ratings",168Followers,"2,533Products"
Mirror Work Gala Booty Kurti With Cotton Inner,₹550,3.8,308 Reviews,Abaan Chikan,"3.84,896 Ratings",547Followers,27Products
TRENDY COTTON KURTA,₹351,3.7,32 Reviews,Bala creations,"3.86,378 Ratings",112Followers,17Products
Nora Stylish Retro Women,₹196,NA,NA,SHREE RAMDEV FAB.,"3.81,286 Ratings",47Followers,57Products
kurti For Women's,₹184,3.8,429 Reviews,Next Stage Art,"3.85,633 Ratings",63Followers,67Products
Women Printed Straight Kurti,₹182,3.7,234 Reviews,BINDIYA DM,"3.759,664 Ratings","1,116Followers",275Products
Women's Black Printed Crepe Kurti,₹295,3.8,2903 Reviews,M/S Deepak Kumar,"3.831,329 Ratings",544Followers,27Products
Women Cotton Solid 3/4th Sleeve V-neck Short Kurta-WHITE,₹296,4.0,154 Reviews,SUDHI KURTIS,"4.01,562 Ratings",51Followers,27Products
Green flower pr Ank 60,₹397,4.3,1 Reviews,Jayesh Creation,3.8199 Ratings,8Followers,13Products
